_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
678602a930d177b767a5d66a,true,44.91,92.04,44.91,66.88,265;0;0;0,words,50,-1,0,70.82,0,0,false,false,english,,normal,false,false,false,,1736835753000
6786023930d177b767a5d206,true,41.14,90.63,41.14,62.35,261;0;0;0,words,50,-1,0,76.13,0,0,false,false,english,,normal,false,false,false,,1736835641000
6783c67f33ee27aa12f41a91,,41.76,90.04,41.76,63.55,2640;0;0;0,words,500,-1,0,758.57,3,0,false,false,english,,normal,false,false,false,,1736689279000
6783477133ee27aa12efa8c0,,41.53,92.11,41.53,61.8,2625;0;0;0,words,500,-1,0,758.55,2,0,false,false,english,,normal,false,false,false,,1736656753000
678279d833ee27aa12e8d622,true,28.56,87.82,28.56,43.39,270;0;0;0,words,50,-1,0,113.44,2,0,true,true,english,,normal,false,false,false,,1736604120000
6782792e33ee27aa12e8cf01,,39.55,85.11,39.55,50.05,80;0;0;0,quote,248,0,0,24.27,0,0,false,false,english,,normal,false,false,false,,1736603950000
6782732b33ee27aa12e88e3b,,40.84,90.47,40.84,60.95,2647;0;0;0,words,500,-1,0,777.79,7,0,false,false,english,,normal,false,false,false,,1736602411000
678139f533ee27aa12dc8f36,,41.88,92.98,41.88,63.26,2628;0;0;0,words,500,-1,1,752.95,5,11.92,false,false,english,,normal,false,false,false,,1736522229000
677fe9c133ee27aa12ce0497,,40.57,92.21,40.57,62.1,2627;0;0;0,words,500,-1,2,777.12,5,209.39,false,false,english,,normal,false,false,false,,1736436161000
677e9a2933ee27aa12bf7a63,,39.12,92.3,39.14,60.67,5289;0;0;1,words,1000,-1,1,1622.36,12,2.86,false,false,english,,normal,false,false,false,,1736350249000
677d44d433ee27aa12b0dfe0,,37.93,92.64,37.93,53.38,5258;0;0;0,words,1000,-1,0,1663.5,99,0,false,false,english,,normal,false,false,false,,1736262868000
677bf76398949642930598c3,true,39.72,91.81,39.78,61.31,5208;0;0;2,words,1000,-1,0,1573.3,20,0,false,false,english,,normal,false,false,false,,1736177507000
677a42ec9894964293f59e95,,41.23,91.32,41.23,62.47,2654;0;0;0,words,500,-1,0,772.54,2,0,false,false,english,,normal,false,false,false,,1736065772000
677a3fbe9894964293f584c4,true,45.5,93.62,45.5,58.62,131;0;0;0,words,25,-1,0,34.55,0,0,false,false,english,,normal,false,false,false,,1736064958000
6779633e9894964293ef090f,true,41.42,93.28,42.77,74.19,122;1;0;0,words,25,-1,0,35.35,0,0,false,false,english,,normal,false,false,false,,1736008510000
677962bf9894964293ef0389,true,40.8,91.23,40.8,66.44,51;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1736008383000
677962979894964293ef01d6,,40,86.89,47.19,67.06,50;4;1;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1736008343000
677962819894964293ef00e5,,28.8,80.43,28.8,29.29,36;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1736008321000
677962669894964293eeffc6,true,40.79,92.98,40.79,57.93,51;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1736008294000
6779622d9894964293eefd62,true,49.66,94.23,49.66,66.09,49;0;0;0,words,10,-1,0,11.84,0,0,false,false,english,,normal,false,false,false,,1736008237000
6779607b9894964293eeec21,true,42.92,93.71,43.08,64.55,2642;0;1;0,words,500,-1,0,738.7,1,0,false,false,english,,normal,false,false,false,,1736007803000
677930709894964293ece975,true,41.37,90.61,41.37,63.07,2664;0;0;0,words,500,-1,0,772.64,5,0,false,false,english,,normal,false,false,false,,1735995504000
6778ba229894964293e8fab8,true,39.07,93.97,39.07,63,2623;0;0;0,words,500,-1,0,805.6,6,0,false,false,english,,normal,false,false,false,,1735965218000
677807889894964293e301df,true,43.32,96.2,43.32,67.03,1083;0;0;0,time,300,-1,0,300,2,0,false,false,english,,normal,false,false,false,,1735919496000
6777f06c9894964293e1d2a7,,33.65,93.48,33.65,44.97,3365;0;0;0,time,1200,-1,0,1200,169,0,false,false,english,,normal,false,false,false,,1735913580000
677564ad9894964293cb1942,,37.76,90.73,37.81,61.27,3776;0;1;0,time,1200,-1,1,1200.02,9,7.49,false,false,english,,normal,false,false,false,,1735746733000
6770b7f49894964293a43138,true,39.6,91.7,39.6,61.55,3960;0;0;0,time,1200,-1,0,1200.01,8,0,false,false,english,,normal,false,false,false,,1735440372000
6770135a98949642939f2c94,true,39.09,92.57,39.09,61.13,3909;0;0;0,time,1200,-1,0,1200,7,0,false,false,english,,normal,false,false,false,,1735398234000
676e6d84989496429390a851,true,37.22,89.64,37.22,59.13,3722;0;0;0,time,1200,-1,0,1200,14,0,false,false,english,,normal,false,false,false,,1735290244000
676d855898949642938932e9,true,38.56,93.26,38.56,61.92,316;0;0;0,words,60,-1,0,98.34,0,0,false,false,english,,normal,false,false,false,,1735230808000
